Incoming morph	analyses	stem part	continuations...	#<- HEADERS
ADJ_BACK_ILLATIVE_ON	Nsg|Xill	{MB}o	ADJ_BACK_POSS
ADJ_BACK_ILLATIVE_ON	Nsg|Xill	{MB}on	ADJ_BACK_CLIT_OPT
ADJ_BACK_ILLATIVE_ON	Nsg|Xill|Uarch	{MB}ho	ADJ_BACK_POSS
ADJ_BACK_ILLATIVE_ON	Nsg|Xill|Uarch	{MB}hon	ADJ_BACK_CLIT_OPT
ADJ_BACK_ILLATIVE_SEEN	Nsg|Xill	{MB}see	ADJ_BACK_POSS
ADJ_BACK_ILLATIVE_SEEN	Nsg|Xill	{MB}seen	ADJ_BACK_CLIT_OPT
ADJ_BACK_ILLATIVE_UN	Nsg|Xill	{MB}u	ADJ_BACK_POSS
ADJ_BACK_ILLATIVE_UN	Nsg|Xill	{MB}un	ADJ_BACK_CLIT_OPT
ADJ_BACK_ILLATIVE_UN	Nsg|Xill|Uarch	{MB}hu	ADJ_BACK_POSS
ADJ_BACK_ILLATIVE_UN	Nsg|Xill|Uarch	{MB}hun	ADJ_BACK_CLIT_OPT
ADJ_BACK_NOMINATIVE	Nsg|Xnom		ADJ_BACK_CLIT_OPT
ADJ_BACK_PARTITIVE_A	Nsg|Xpar	{MB}a	ADJ_BACK_POSS_CLIT_OPT
ADJ_BACK_PARTITIVE_A_AN	Nsg|Xpar	{MB}a	ADJ_BACK_POSS_AN_CLIT_OPT
ADJ_BACK_PARTITIVE_A_NONSTD	Nsg|Xpar|Unonstd	{MB}a	ADJ_BACK_POSS_CLIT_OPT
ADJ_BACK_PARTITIVE_IA	Npl|Xpar	{MB}i{MB}a	ADJ_BACK_POSS_AN_CLIT_OPT
ADJ_BACK_PARTITIVE_ITA	Npl|Xpar	{MB}i{MB}ta	ADJ_BACK_POSS_AN_CLIT_OPT
ADJ_BACK_PARTITIVE_JA	Npl|Xpar	{MB}j{MB}a	ADJ_BACK_POSS_AN_CLIT_OPT
ADJ_BACK_PARTITIVE_TA	Nsg|Xpar	{MB}ta	ADJ_BACK_POSS_AN_CLIT_OPT
ADJ_BACK_PARTITIVE_TA_ARCHAIC	Nsg|Xpar|Uarch	{MB}ta	ADJ_BACK_POSS_AN_CLIT_OPT
ADJ_BACK_PLNOM_CLIT	Npl|Xnom	{MB}t	ADJ_BACK_CLIT_OPT
ADJ_BACK_PLURALS			ADJ_BACK_STRONG_PLURALS	ADJ_BACK_WEAK_PLURALS
ADJ_BACK_POSS	O3	{MB}nsa	ADJ_BACK_CLIT_OPT
ADJ_BACK_POSS	Opl1	{MB}mme	ADJ_BACK_CLIT_OPT
ADJ_BACK_POSS	Opl2	{MB}nne	ADJ_BACK_CLIT_OPT
ADJ_BACK_POSS	Osg1	{MB}ni	ADJ_BACK_CLIT_OPT
ADJ_BACK_POSS	Osg2	{MB}si	ADJ_BACK_CLIT_OPT
ADJ_BACK_POSS_AN	O3	{MB}an	ADJ_BACK_CLIT_OPT
ADJ_BACK_POSS_AN	O3|Uarch	{MB}han	ADJ_BACK_CLIT_OPT
ADJ_BACK_POSS_AN_CLIT_OPT			ADJ_BACK_POSS	ADJ_BACK_POSS_AN	ADJ_BACK_CLIT	#
ADJ_BACK_POSS_CLIT_OPT			ADJ_BACK_POSS	ADJ_BACK_CLIT	#
ADJ_BACK_POSS_EN	O3	{MB}en	ADJ_BACK_CLIT_OPT
ADJ_BACK_POSS_EN	O3|Uarch	{MB}hen	ADJ_BACK_CLIT_OPT
ADJ_BACK_POSS_EN_CLIT_OPT			ADJ_BACK_POSS	ADJ_BACK_POSS_EN	ADJ_BACK_CLIT	#
ADJ_BACK_POSS_EN_OBL			ADJ_BACK_POSS	ADJ_BACK_POSS_EN
ADJ_BACK_SINGULARS			ADJ_BACK_STRONG_SINGULARS	ADJ_BACK_WEAK_SINGULARS
ADJ_BACK_SINGULARS_ARCHAIC	Npl|Xnom|Uarch		ADJ_BACK_POSS
ADJ_BACK_SINGULARS_ARCHAIC	Npl|Xnom|Uarch	{MB}t	ADJ_BACK_CLIT_OPT
ADJ_BACK_SINGULARS_ARCHAIC	Nsg|Xabe|Uarch	{MB}tta	ADJ_BACK_POSS_AN_CLIT_OPT
ADJ_BACK_SINGULARS_ARCHAIC	Nsg|Xabl|Uarch	{MB}lta	ADJ_BACK_POSS_AN_CLIT_OPT
ADJ_BACK_SINGULARS_ARCHAIC	Nsg|Xade|Uarch	{MB}lla	ADJ_BACK_POSS_AN_CLIT_OPT
ADJ_BACK_SINGULARS_ARCHAIC	Nsg|Xall|Uarch	{MB}lle	ADJ_BACK_POSS_EN_CLIT_OPT
ADJ_BACK_SINGULARS_ARCHAIC	Nsg|Xela|Uarch	{MB}sta	ADJ_BACK_POSS_AN_CLIT_OPT
ADJ_BACK_SINGULARS_ARCHAIC	Nsg|Xess|Uarch	{MB}na	ADJ_BACK_POSS_AN_CLIT_OPT
ADJ_BACK_SINGULARS_ARCHAIC	Nsg|Xgen|Uarch		ADJ_BACK_POSS
ADJ_BACK_SINGULARS_ARCHAIC	Nsg|Xgen|Uarch	{MB}n	ADJ_BACK_CLIT_OPT
ADJ_BACK_SINGULARS_ARCHAIC	Nsg|Xill|Uarch	{MB}sen	ADJ_BACK_CLIT_OPT
ADJ_BACK_SINGULARS_ARCHAIC	Nsg|Xine|Uarch	{MB}ssa	ADJ_BACK_POSS_AN_CLIT_OPT
ADJ_BACK_SINGULARS_ARCHAIC	Nsg|Xnom|Uarch		ADJ_BACK_POSS
ADJ_BACK_SINGULARS_ARCHAIC	Nsg|Xtra|Uarch	{MB}kse	ADJ_BACK_POSS_EN_OBL
ADJ_BACK_SINGULARS_ARCHAIC	Nsg|Xtra|Uarch	{MB}ksi	ADJ_BACK_CLIT_OPT	ADJ_BACK_CLIT_OPT
ADJ_BACK_STRONG_PLURALS	Npl|Xess	{MB}ina	ADJ_BACK_POSS_AN_CLIT_OPT
ADJ_BACK_STRONG_PLURALS	Xcom	{MB}ine	ADJ_BACK_POSS_AN_CLIT_OPT
ADJ_BACK_STRONG_SINGULARS	Npl|Xnom		ADJ_BACK_POSS
ADJ_BACK_STRONG_SINGULARS	Nsg|Xess	{MB}na	ADJ_BACK_POSS_AN_CLIT_OPT
ADJ_BACK_STRONG_SINGULARS	Nsg|Xgen		ADJ_BACK_POSS
ADJ_BACK_STRONG_SINGULARS	Nsg|Xnom		ADJ_BACK_POSS
ADJ_BACK_SUPERLATIVE	Din²|Csup	{DB}i	ADJ_BACK_SUPERLATIVE_STEMS
ADJ_BACK_SUPERLATIVE_ARCHAIC	Din²|Csup|Uarch	{DB}i	ADJ_BACK_SUPERLATIVE_STEMS
ADJ_BACK_SUPERLATIVE_STEMS		{STUB}mma	ADJ_BACK_WEAK_SINGULARS
ADJ_BACK_SUPERLATIVE_STEMS		{STUB}mm	ADJ_BACK_WEAK_PLURALS
ADJ_BACK_SUPERLATIVE_STEMS		{STUB}mpa	ADJ_BACK_STRONG_SINGULARS	ADJ_BACK_ILLATIVE_AN	ADJ_BACK_GENITIVE_IN	ADJ_BACK_PARTITIVE_A_NONSTD
ADJ_BACK_SUPERLATIVE_STEMS		{STUB}mp	ADJ_BACK_STRONG_PLURALS	ADJ_BACK_PARTITIVE_IA	ADJ_BACK_GENITIVE_IEN	ADJ_BACK_ILLATIVE_IIN
ADJ_BACK_SUPERLATIVE_STEMS		{STUB}n	ADJ_BACK_NOMINATIVE	ADJ_BACK_PARTITIVE_TA	ADJ_BACK_GENITIVE_TEN
ADJ_BACK_WEAK_PLURALS	Npl|Xabe	{MB}i{MB}tta	ADJ_BACK_POSS_AN_CLIT_OPT
ADJ_BACK_WEAK_PLURALS	Npl|Xabl	{MB}i{MB}lta	ADJ_BACK_POSS_AN_CLIT_OPT
ADJ_BACK_WEAK_PLURALS	Npl|Xade	{MB}i{MB}lla	ADJ_BACK_POSS_AN_CLIT_OPT
ADJ_BACK_WEAK_PLURALS	Npl|Xall	{MB}i{MB}lle	ADJ_BACK_POSS_EN_CLIT_OPT
ADJ_BACK_WEAK_PLURALS	Npl|Xela	{MB}i{MB}sta	ADJ_BACK_POSS_AN_CLIT_OPT
ADJ_BACK_WEAK_PLURALS	Npl|Xine	{MB}i{MB}ssa	ADJ_BACK_POSS_AN_CLIT_OPT
ADJ_BACK_WEAK_PLURALS	Npl|Xins	{MB}i{MB}n	ADJ_BACK_CLIT_OPT
ADJ_BACK_WEAK_PLURALS	Npl|Xtra	{MB}i{MB}kse	ADJ_BACK_POSS_EN_OBL
ADJ_BACK_WEAK_PLURALS	Npl|Xtra	{MB}i{MB}ksi	ADJ_BACK_CLIT_OPT
ADJ_BACK_WEAK_SINGULARS			ADJ_BACK_PLNOM_CLIT
ADJ_BACK_WEAK_SINGULARS	Nsg|Xabe	{MB}tta	ADJ_BACK_POSS_AN_CLIT_OPT
ADJ_BACK_WEAK_SINGULARS	Nsg|Xabl	{MB}lta	ADJ_BACK_POSS_AN_CLIT_OPT
